epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,2425.74,1.08574,0.83334,1.11598,0.59187,0.49068,0.51987,0.33055,1.33876,1.26909,1.23009,0.006337,0.006337,0.006337
76,2455.37,1.08164,0.8384,1.11659,0.59148,0.47426,0.5065,0.31702,1.3229,1.27187,1.22244,0.0062875,0.0062875,0.0062875
77,2484.76,1.09223,0.83174,1.11604,0.57586,0.52072,0.50798,0.32019,1.32021,1.23974,1.2314,0.006238,0.006238,0.006238
78,2514.26,1.07504,0.81835,1.11392,0.59442,0.49287,0.49166,0.30281,1.33633,1.24809,1.2374,0.0061885,0.0061885,0.0061885
79,2543.66,1.07552,0.80745,1.10641,0.64723,0.48653,0.49394,0.30497,1.32076,1.25349,1.2159,0.006139,0.006139,0.006139
80,2573.16,1.07051,0.81741,1.10995,0.67149,0.45397,0.49791,0.30946,1.3201,1.22769,1.22653,0.0060895,0.0060895,0.0060895
81,2602.45,1.07185,0.80774,1.10652,0.58051,0.4905,0.5045,0.32321,1.32175,1.25667,1.22279,0.00604,0.00604,0.00604
82,2631.98,1.08762,0.81647,1.11361,0.62291,0.45878,0.50769,0.32146,1.31829,1.26906,1.22896,0.0059905,0.0059905,0.0059905
83,2661.68,1.06564,0.78131,1.09697,0.65427,0.46652,0.49617,0.32108,1.34079,1.27167,1.23491,0.005941,0.005941,0.005941
84,2691.07,1.06624,0.79217,1.10116,0.57659,0.46091,0.47684,0.30553,1.36084,1.30192,1.24197,0.0058915,0.0058915,0.0058915
85,2720.48,1.06125,0.79234,1.10392,0.58439,0.47039,0.48606,0.30708,1.36001,1.29309,1.23634,0.005842,0.005842,0.005842
86,2749.9,1.05224,0.77694,1.09473,0.65849,0.48798,0.52066,0.33432,1.3431,1.26978,1.22833,0.0057925,0.0057925,0.0057925
87,2779.77,1.06061,0.77664,1.09863,0.63972,0.50309,0.51524,0.33312,1.34974,1.295,1.2319,0.005743,0.005743,0.005743
88,2809.4,1.04188,0.76834,1.09393,0.6973,0.47863,0.51717,0.3286,1.31324,1.24459,1.2169,0.0056935,0.0056935,0.0056935
89,2838.77,1.04988,0.76755,1.09437,0.66065,0.43772,0.50795,0.32494,1.34269,1.28095,1.2296,0.005644,0.005644,0.005644
90,2868.3,1.03507,0.74752,1.08645,0.62119,0.47133,0.51318,0.32786,1.35699,1.2808,1.23904,0.0055945,0.0055945,0.0055945
91,2897.81,1.02991,0.74497,1.08541,0.59049,0.4912,0.49765,0.31645,1.32427,1.2834,1.21856,0.005545,0.005545,0.005545
92,2927.18,1.03487,0.74448,1.08696,0.521,0.51671,0.5106,0.32691,1.34714,1.27099,1.23652,0.0054955,0.0054955,0.0054955
93,2956.35,1.02809,0.73197,1.08417,0.58996,0.50199,0.50253,0.31494,1.34582,1.30711,1.23313,0.005446,0.005446,0.005446
94,2985.94,1.02519,0.74581,1.08203,0.65501,0.47851,0.5087,0.31752,1.3639,1.26918,1.23952,0.0053965,0.0053965,0.0053965
95,3015.7,1.02862,0.73729,1.07847,0.64965,0.46193,0.4987,0.32423,1.32415,1.29404,1.22457,0.005347,0.005347,0.005347
96,3045.07,1.02576,0.72978,1.07656,0.62009,0.49107,0.50359,0.32219,1.32599,1.32236,1.22087,0.0052975,0.0052975,0.0052975
97,3074.18,1.02061,0.72941,1.07572,0.61926,0.47861,0.49872,0.31862,1.33847,1.3003,1.22289,0.005248,0.005248,0.005248
98,3103.37,1.0193,0.73108,1.0791,0.56742,0.50593,0.50022,0.32043,1.35141,1.3265,1.24692,0.0051985,0.0051985,0.0051985
99,3133.07,1.01151,0.7236,1.07135,0.61463,0.47181,0.50129,0.32232,1.34066,1.28784,1.24063,0.005149,0.005149,0.005149
100,3163.44,1.01469,0.7199,1.07399,0.62102,0.49233,0.50146,0.31709,1.3397,1.29664,1.23322,0.0050995,0.0050995,0.0050995
